moderator,level,k,estimate,se,ci_lower,ci_upper,p_value,I2,tau2,Q,Q_pval,Q_between,Q_between_df,Q_between_pval,comparison
Industry,Business,46,-0.9264769134890131,0.15496525979323006,-1.230208822683744,-0.6227450042942821,2.250490682698114e-09,98.85441427157717,1.0719890118328685,3928.121561181906,0.0,885.6640434037145,3,0.0,Strong Synergy
Industry,Communication,86,-0.48661780455231224,0.14653931143884816,-0.7738348549724546,-0.19940075413216984,0.000897816523692363,98.95135220772342,1.8024541327625583,8105.676722540748,0.0,885.6640434037145,3,0.0,Strong Synergy
Industry,Healthcare,107,-0.3063446285185031,0.09081547579780205,-0.4843429610821951,-0.12834629595481106,0.0007428253529786488,93.86109587089958,0.7343185552004906,1726.6925459468416,0.0,885.6640434037145,3,0.0,Strong Synergy
Industry,Public sector,39,-0.7025323770253408,0.13029881613315655,-0.9579180566463277,-0.4471466974043539,6.979347433322403e-08,98.62221897693142,0.6364575240349505,2758.0580196529845,0.0,885.6640434037145,3,0.0,Strong Synergy
Task_Type,Create,26,0.37166883401154266,0.20164785758752143,-0.023560966859999366,0.7668986348830846,0.06530596526928445,94.88753005676537,0.9429130847766344,489.0004298818954,0.0,586.5903871759401,1,0.0,Strong Synergy
Task_Type,Decide,252,-0.6192672450914303,0.06885065052929114,-0.7542145201288409,-0.4843199700540196,0.0,98.46282191579398,1.1196408680097776,16328.622075668358,0.0,586.5903871759401,1,0.0,Strong Synergy
AI_Type_Cleaned,Deep,132,-0.20441352014818032,0.10156801760879888,-0.4034868346614261,-0.005340205634934508,0.0441590823036484,97.75067198313279,1.2507293267413404,5823.961601761077,0.0,4675.469188974508,4,0.0,Strong Synergy
AI_Type_Cleaned,Rule-Based,52,-1.2469255699530117,0.11529209732952143,-1.4728980807188736,-1.0209530591871498,0.0,98.11386654614331,0.6636396112983057,2703.944405191327,0.0,4675.469188974508,4,0.0,Strong Synergy
AI_Type_Cleaned,Shallow,46,-0.506354349025682,0.12150381418734352,-0.7445018248328753,-0.2682068732184887,3.081007831506888e-05,98.38887529970445,0.6339517472076511,2793.079889579315,0.0,4675.469188974508,4,0.0,Strong Synergy
AI_Type_Cleaned,Simulated-AI,12,-1.2902737507823736,0.316493277463092,-1.9106005746100339,-0.6699469269547133,4.5663481680557894e-05,98.08999141577222,1.1695269640339447,575.9136420032024,0.0,4675.469188974508,4,0.0,Strong Synergy
AI_Type_Cleaned,Wizard of Oz,36,-0.43455110821433823,0.14888620576874254,-0.7263680715210736,-0.1427341449076029,0.0035151749330062376,95.79248115650608,0.7043006526695932,831.8441652167654,0.0,4675.469188974508,4,0.0,Strong Synergy
Participant_Expert,No,182,-0.6476395542573513,0.08233650074970252,-0.8090190957267682,-0.4862600127879344,3.774758283725532e-15,98.85975856726716,1.200355308357451,15873.831173297429,0.0,57.95364674548546,1,2.6867397195928788e-14,Strong Synergy
Participant_Expert,Yes,96,-0.278045051668477,0.098890840962554,-0.4718710999550828,-0.08421900338187113,0.004929024342669619,93.54807193896563,0.7685266204872535,1472.428072683281,0.0,57.95364674548546,1,2.6867397195928788e-14,Strong Synergy
AI_Expl_Incl,No,115,-0.6111778233368022,0.09650207648144506,-0.8003218932404345,-0.42203375343316984,2.399525023122351e-10,98.53617163191213,1.0097582831987422,7787.798247748952,0.0,17.3344542977502,1,3.13451867729464e-05,Strong Synergy
AI_Expl_Incl,Yes,163,-0.47052198029676706,0.09269638456545773,-0.6522068940450643,-0.2888370665484699,3.855697781052214e-07,98.31233829927477,1.3084089462589916,9599.080190679491,0.0,17.3344542977502,1,3.13451867729464e-05,Strong Synergy
Year,2020,62,-0.835200472164362,0.14358771549522187,-1.1166323945349967,-0.5537685497937271,6.003620045547109e-09,97.8088114851053,1.207747411066931,2783.8773152264216,0.0,451.62182505556484,4,0.0,Strong Synergy
Year,2021,93,-0.5577471184792087,0.10542642899898001,-0.7643829193172095,-0.35111131764120784,1.2205459243297412e-07,98.66218176731283,0.9759495605819161,6876.8684528395825,0.0,451.62182505556484,4,0.0,Strong Synergy
Year,2022,65,-0.6343589685303961,0.15877562792606864,-0.9455591992654906,-0.3231587377953016,6.46077411015078e-05,98.73702075410934,1.565020309666699,5067.3833483990675,0.0,451.62182505556484,4,0.0,Strong Synergy
Year,2023,54,0.013210188384471884,0.1450892676229859,-0.27116477615658047,0.2975851529255243,0.9274538991917634,97.61425637104888,1.0235753466205677,2221.529562390631,0.0,451.62182505556484,4,0.0,Strong Synergy
Year,2024,4,-0.6654335618044386,0.2902594322163068,-1.2343420489483998,-0.09652507466047733,0.021874064695030837,0.0,0.0,2.932388814927739,0.40216739137713575,451.62182505556484,4,0.0,Strong Synergy
Industry,Business,46,0.7057971883357079,0.06594864923808251,0.5765378358290663,0.8350565408423496,0.0,91.37427594214225,0.17268393521383382,521.6953347702616,0.0,440.79549466020944,3,0.0,Human Augmentation
Industry,Communication,86,0.2759142829421792,0.04313687006210752,0.19136601762044844,0.3604625482639099,1.5923729002054188e-10,84.9379645066912,0.12380033538817359,564.3327559396646,0.0,440.79549466020944,3,0.0,Human Augmentation
Industry,Healthcare,107,0.6319497292252648,0.058445290331430685,0.5173969601756607,0.7465024982748689,0.0,82.88962906602532,0.2324974700756723,619.5073175738368,0.0,440.79549466020944,3,0.0,Human Augmentation
Industry,Public sector,39,0.42847426004330297,0.07364240369809592,0.284135148795035,0.572813371291571,5.944593484130678e-09,94.76741270034911,0.1942248561526873,726.2181751374777,0.0,440.79549466020944,3,0.0,Human Augmentation
Task_Type,Create,26,0.46658601827312757,0.1385636728669372,0.19500121945393067,0.7381708170923245,0.0007590694565122735,83.41840122605903,0.3804158874154071,150.76953881726456,0.0,3.930875656018088,1,0.04740725327634532,Human Augmentation
Task_Type,Decide,252,0.4963367530243589,0.03181317743561634,0.4339829252505509,0.5586905807981669,0.0,90.76475436764103,0.19881110746903527,2717.8486636081675,0.0,3.930875656018088,1,0.04740725327634532,Human Augmentation
AI_Type_Cleaned,Deep,132,0.39605961442674853,0.041430398963414564,0.314856032458456,0.47726319639504106,0.0,83.83733709795095,0.15052702782818964,810.5100056463608,0.0,294.3185651662393,4,0.0,Human Augmentation
AI_Type_Cleaned,Rule-Based,52,0.5591772848001745,0.0611037386896657,0.4394139569684297,0.6789406126319193,0.0,90.42740219999119,0.16623210621176746,532.7707385758233,0.0,294.3185651662393,4,0.0,Human Augmentation
AI_Type_Cleaned,Shallow,46,0.44345033256744704,0.07267108402638907,0.30101500787572444,0.5858856572591696,1.0464678013022422e-09,93.75767761312446,0.20283846594376684,720.8855488561798,0.0,294.3185651662393,4,0.0,Human Augmentation
AI_Type_Cleaned,Simulated-AI,12,0.6729348330877908,0.1431455244633823,0.3923696051395615,0.95350006103602,2.5882211669436828e-06,89.44934509855118,0.21119457230718872,104.25893086967972,0.0,294.3185651662393,4,0.0,Human Augmentation
AI_Type_Cleaned,Wizard of Oz,36,0.7336528903552744,0.10815887237369809,0.5216615005028261,0.9456442802077226,1.1762146812088758e-11,91.45935864121947,0.32576134882397306,409.8052889671672,0.0,294.3185651662393,4,0.0,Human Augmentation
Participant_Expert,No,182,0.45549150721846543,0.036166709878551535,0.38460475585650444,0.5263782585804264,0.0,92.39146372227951,0.2062066738131113,2378.9069722912272,0.0,34.13770237527888,1,5.134671021700399e-09,Human Augmentation
Participant_Expert,Yes,96,0.5949955195743512,0.05782111494543257,0.48166613428130334,0.708324904867399,0.0,79.3255517696938,0.18182928200370815,459.50440341494425,0.0,34.13770237527888,1,5.134671021700399e-09,Human Augmentation
AI_Expl_Incl,No,115,0.5151298834383203,0.048638817987565336,0.4197978001826923,0.6104619666939484,0.0,92.49258508181087,0.21809979761709222,1518.4987274887199,0.0,0.2527029781249439,1,0.6151782254433568,Human Augmentation
AI_Expl_Incl,Yes,163,0.4777699583221872,0.03980610262408548,0.3997499971789797,0.5557899194653948,0.0,88.03366217355716,0.19255824214281161,1353.7976476146055,0.0,0.2527029781249439,1,0.6151782254433568,Human Augmentation
Year,2020,62,0.4035951721984007,0.06329981961186563,0.279527525759144,0.5276628186376573,1.818567518796499e-10,85.62886055236885,0.1856001764528831,424.46181962318104,0.0,264.31608806344275,4,0.0,Human Augmentation
Year,2021,93,0.4449422603127905,0.048197506428743105,0.350475147712454,0.539409372913127,0.0,91.1658115463145,0.17116966979631845,1041.4086192786492,0.0,264.31608806344275,4,0.0,Human Augmentation
Year,2022,65,0.4504180662317489,0.06602012204979896,0.32101862701414297,0.5798175054493548,8.950840069132937e-12,91.25376200488893,0.22650337341492366,731.7431795907495,0.0,264.31608806344275,4,0.0,Human Augmentation
Year,2023,54,0.7566386739113499,0.07862293320411522,0.602537724831284,0.9107396229914158,0.0,86.44788626902667,0.23191427276459484,391.08290449827473,0.0,264.31608806344275,4,0.0,Human Augmentation
Year,2024,4,0.5996205837449643,0.11872731344855848,0.36691504938578967,0.8323261181041389,4.408827600776988e-07,84.64410174147437,0.047423447831821806,19.536467027152863,0.0002117403852461841,264.31608806344275,4,0.0,Human Augmentation
Industry,Business,46,-0.7321590409291995,0.18776317210333512,-1.1001748582517363,-0.3641432236066626,9.644126419527943e-05,99.22979271408254,1.5892934548924376,5842.5830062612495,0.0,2668.194802971084,3,0.0,AI Augmentation
Industry,Communication,86,1.0108067038858166,0.2333917853735716,0.5533588045536162,1.468254603218017,1.4847158204878141e-05,99.63635826880751,4.621564944633646,23374.654971875785,0.0,2668.194802971084,3,0.0,AI Augmentation
Industry,Healthcare,107,0.08720134203078743,0.11246654480480488,-0.13323308578663012,0.307635769848205,0.4381307364133573,95.9720332026604,1.1749888776140738,2631.6006395586705,0.0,2668.194802971084,3,0.0,AI Augmentation
Industry,Public sector,39,-0.581327674828501,0.15273201286100885,-0.8806824200360783,-0.2819729296209237,0.00014112168839952588,99.05242824625384,0.8840876268702405,4010.2503952623424,0.0,2668.194802971084,3,0.0,AI Augmentation
Task_Type,Create,26,1.11409563135556,0.18318825931879848,0.7550466430907149,1.4731446196204048,1.1891654327911283e-09,96.2495010163977,0.742799940175703,666.5779702728466,0.0,949.862297672822,1,0.0,AI Augmentation
Task_Type,Decide,252,0.043376470684879695,0.10130125411866844,-0.15517398738771043,0.24192692875746985,0.6685107359833644,99.31998302971942,2.492992602271997,36910.843547983466,0.0,949.862297672822,1,0.0,AI Augmentation
AI_Type_Cleaned,Deep,132,0.9197637393278992,0.16652887797751414,0.5933671384919715,1.246160340163827,3.329778808236483e-08,99.26337776112086,3.5185510329294587,17783.877961563427,0.0,9656.868236098744,4,0.0,AI Augmentation
AI_Type_Cleaned,Rule-Based,52,-0.8763279531088358,0.15755080411521974,-1.1851275291746666,-0.5675283770430051,2.6640568195901437e-08,99.00868078468693,1.2468799295356305,5144.659682995613,0.0,9656.868236098744,4,0.0,AI Augmentation
AI_Type_Cleaned,Shallow,46,-0.3622466552400222,0.14173990509752196,-0.6400568692311652,-0.08443644124887917,0.010597018743980335,98.88539924377973,0.8771505469581593,4037.3200671960712,0.0,9656.868236098744,4,0.0,AI Augmentation
AI_Type_Cleaned,Simulated-AI,12,-1.2722922740908111,0.3179678064114425,-1.8955091746572386,-0.6490753735243838,6.29889886207824e-05,98.18191814352176,1.1814614050728347,605.0332640856909,0.0,9656.868236098744,4,0.0,AI Augmentation
AI_Type_Cleaned,Wizard of Oz,36,-0.14393963903979576,0.1853617215129155,-0.5072486132051102,0.21936933512551862,0.4374338811517431,97.30670739957145,1.1338704976106389,1299.5246039895883,0.0,9656.868236098744,4,0.0,AI Augmentation
Participant_Expert,No,182,0.1688942862547159,0.12099374941083035,-0.0682534625905116,0.4060420350999434,0.16274682244317473,99.50547076070264,2.623131493997337,36600.46476870989,0.0,36.608349498099415,1,1.4441183804336788e-09,AI Augmentation
Participant_Expert,Yes,96,0.05248210409050246,0.11280685040196754,-0.1686193226973539,0.27358353087835885,0.6417605805583575,94.97410526167623,1.0214793893043272,1890.2106977211427,0.0,36.608349498099415,1,1.4441183804336788e-09,AI Augmentation
AI_Expl_Incl,No,115,-0.008729431516991354,0.130839066998711,-0.2651740028344649,0.2477151398004822,0.9468055310754002,99.2612794317442,1.889830673293739,15432.086894394335,0.0,8.091574325480906,1,0.004447151514039627,AI Augmentation
AI_Expl_Incl,Yes,163,0.2487033025395189,0.1396046161619832,-0.024921745137968188,0.522328350217006,0.07483351871020183,99.29830960805322,3.0643524111460216,23087.105347209323,0.0,8.091574325480906,1,0.004447151514039627,AI Augmentation
Year,2020,62,-0.10283605408188408,0.25279294297084165,-0.5983102223047337,0.39263811414096556,0.6841552212360609,99.34526879366445,3.8866559828667184,9316.800453335409,0.0,777.8981876071266,4,0.0,AI Augmentation
Year,2021,93,-0.11849797264637128,0.13015543508294802,-0.3736026254089494,0.1366066801162068,0.3625935147385684,99.18200689924895,1.4939451572818203,11247.038626062844,0.0,777.8981876071266,4,0.0,AI Augmentation
Year,2022,65,0.615665244603934,0.2610931559626391,0.10392265891716135,1.1274078302907067,0.018372255525086922,99.54922975208771,4.3359853188165705,14197.9201813811,0.0,777.8981876071266,4,0.0,AI Augmentation
Year,2023,54,0.2827241523647366,0.16484504381702997,-0.04037213351664215,0.6058204382461153,0.08632865387533317,98.224273564468,1.3418208425134288,2984.6939787277274,0.0,777.8981876071266,4,0.0,AI Augmentation
Year,2024,4,-0.6654335618044386,0.2902594322163068,-1.2343420489483998,-0.09652507466047733,0.021874064695030837,0.0,0.0,2.932388814927739,0.40216739137713575,777.8981876071266,4,0.0,AI Augmentation
